trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.58979770662236,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.98019867330675525}",30,0,-187.20770373253345,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.96078943915232318}",25,0,-143.51864082847192,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.94176453358424872}",20,0,-128.84175774412338,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.92311634638663576}",20,1,-72.85089550751,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.90483741803595952}",25,0,-229.91740137064892,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.88692043671715748}",25,16,-40.15426554482036,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.86935823539880586}",25,0,-81.07531786267633,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.85214378896621135}",20,6,-18.403306454053062,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-67.67169558288055,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.81873075307798182}",20,0,-101.57129253920166,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.80251879796247849}",25,0,-156.58049056089033,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.78662786106655347}",20,0,-40.16286917928495,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.77105158580356625}",30,9,-74.54804896589256,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.75578374145572547}",20,0,-92.6046172585608,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.74081822068171788}",20,14,4.556464900846496,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.72614903707369094}",20,0,-70.59719900575232,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
